Height,Rings
0.095,15
0.09,7
0.135,9
0.125,10
0.08,7
0.095,8
0.15,20
0.125,16
0.125,9
0.15,19
0.14,14
0.11,10
0.135,11
0.145,10
0.1,10
0.13,12
0.085,7
0.1,10
0.08,7
0.1,9
0.095,11
0.1,10
0.155,12
0.135,9
0.165,10
0.14,11
0.185,11
0.14,12
0.18,15
0.14,11
0.165,10
0.165,15
0.165,18
0.175,19
0.2,13
0.105,8
0.155,16
0.105,8
0.135,11
0.09,9
0.105,9
0.135,14
0.045,5
0.055,5
0.05,4
0.095,7
0.12,9
0.12,7
0.07,6
0.16,9
0.12,8
0.095,7
0.13,10
0.12,10
0.1,7
0.14,8
0.12,8
0.135,8
0.06,4
0.125,7
0.105,7
0.11,9
0.13,10
0.095,7
0.12,8
0.12,8
0.16,12
0.185,13
0.12,10
0.07,6
0.13,13
0.11,8
0.17,20
0.175,11
0.195,13
0.15,15
0.14,9
0.15,10
0.14,11
0.17,14
0.14,9
0.175,12
0.165,16
0.16,21
0.14,14
0.18,12
0.14,13
0.16,10
0.13,9
0.16,12
0.135,15
0.15,12
0.175,13
0.165,10
0.19,15
0.195,14
0.15,9
0.13,8
0.13,7
0.125,10
0.095,7
0.145,15
0.16,15
0.14,10
0.16,12
0.155,12
0.165,11
0.125,10
0.135,9
0.105,9
0.125,9
0.105,9
0.08,9
0.105,9
0.125,11
0.115,11
0.135,11
0.105,10
0.15,9
0.085,8
0.105,9
0.085,7
0.14,14
0.075,6
0.08,6
0.06,5
0.09,6
0.085,8
0.16,19
0.165,18
0.165,17
0.125,9
0.09,7
0.095,7
0.065,7
0.115,8
0.08,7
0.09,9
0.11,9
0.095,9
0.155,10
0.145,10
0.19,16
0.155,11
0.13,10
0.125,10
0.12,10
0.08,9
0.055,5
0.095,4
0.145,15
0.185,9
0.19,10
0.16,10
0.135,12
0.13,10
0.19,13
0.215,16
0.17,13
0.165,13
0.165,13
0.16,13
0.175,12
0.21,18
0.23,16
0.19,14
0.175,20
0.205,20
0.22,14
0.175,12
0.215,14
0.145,7
0.155,8
0.115,8
0.04,5
0.09,7
0.06,5
0.085,8
0.045,4
0.15,11
0.18,14
0.175,21
0.16,10
0.175,10
0.2,12
0.19,13
0.15,12
0.185,10
0.16,11
0.17,9
0.18,13
0.17,12
0.15,14
0.085,8
0.14,10
0.155,12
0.15,11
0.185,16
0.16,15
0.185,10
0.12,9
0.165,13
0.145,12
0.17,13
0.115,8
0.14,9
0.11,9
0.11,8
0.17,13
0.095,7
0.145,10
0.09,7
0.105,12
0.14,9
0.16,14
0.14,10
0.13,8
0.12,7
0.135,10
0.13,8
0.125,9
0.145,11
0.15,9
0.15,11
0.105,10
0.135,9
0.125,7
0.085,7
0.165,11
0.16,15
0.135,13
0.175,14
0.215,22
0.075,7
0.135,12
0.08,9
0.01,1
0.03,3
0.03,3
0.035,5
0.16,17
0.07,5
0.065,5
0.08,8
0.085,8
0.085,10
0.08,13
0.085,9
0.075,7
0.11,7
0.105,7
0.18,13
0.155,12
0.185,15
0.165,15
0.175,15
0.185,19
0.16,10
0.17,15
0.16,13
0.155,11
0.125,12
0.165,11
0.06,4
0.08,6
0.13,11
0.15,14
0.11,8
0.15,9
0.125,13
0.215,22
0.2,16
0.205,14
0.225,15
0.155,13
0.215,22
0.185,12
0.24,18
0.205,20
0.135,11
0.185,15
0.105,7
0.12,9
0.14,14
0.175,14
0.17,10
0.155,10
0.155,17
0.125,9
0.16,10
0.18,17
0.21,12
0.165,15
0.175,19
0.195,26
0.085,6
0.075,6
0.085,4
0.14,11
0.105,9
0.095,9
0.175,13
0.1,8
0.1,6
0.13,10
0.06,4
0.03,3
0.24,13
0.125,14
0.145,10
0.19,21
0.14,14
0.195,19
0.2,23
0.175,23
0.11,8
0.19,14
0.1,10
0.155,18
0.095,6
0.06,5
0.04,4
0.1,11
0.07,5
0.105,7
0.09,7
0.1,7
0.13,12
0.105,8
0.09,8
0.155,12
0.12,8
0.08,5
0.04,5
0.195,16
0.19,11
0.19,14
0.185,16
0.185,13
0.195,15
0.145,14
0.205,14
0.185,12
0.18,12
0.155,8
0.14,13
0.16,9
0.08,6
0.115,8
0.15,14
0.185,8
0.17,22
0.14,12
0.17,9
0.17,16
0.205,20
0.185,13
0.19,18
0.215,17
0.18,16
0.18,18
0.15,12
0.175,20
0.15,16
0.175,12
0.16,19
0.145,11
0.12,10
0.18,12
0.215,17
0.165,16
0.195,16
0.2,19
0.17,14
0.15,13
0.195,20
0.19,11
0.16,10
0.175,15
0.185,12
0.18,15
0.145,10
0.135,10
0.12,12
0.135,10
0.105,9
0.155,12
0.135,10
0.125,14
0.12,9
0.1,10
0.125,10
0.125,10
0.095,9
0.095,6
0.1,11
0.14,10
0.145,8
0.15,12
0.15,11
0.12,9
0.135,9
0.11,7
0.14,10
0.12,7
0.15,12
0.115,8
0.12,16
0.145,11
0.095,8
0.165,15
0.12,14
0.12,11
0.12,12
0.17,14
0.14,15
0.17,20
0.165,20
0.155,16
0.14,13
0.165,14
0.12,11
0.135,13
0.07,8
0.07,6
0.175,13
0.165,18
0.16,19
0.125,21
0.17,18
0.175,18
0.155,20
0.17,18
0.14,22
0.1,13
0.15,11
0.095,7
0.095,14
0.09,9
0.165,13
0.11,10
0.1,8
0.14,19
0.1,10
0.105,10
0.19,9
0.185,13
0.185,16
0.175,12
0.15,18
0.215,16
0.16,16
0.195,17
0.155,11
0.175,14
0.14,11
0.175,15
0.105,9
0.11,10
0.135,11
0.1,11
0.17,12
0.07,6
0.055,5
0.07,6
0.05,5
0.19,12
0.195,13
0.21,17
0.2,21
0.135,9
0.12,10
0.12,9
0.12,11
0.16,10
0.175,17
0.115,9
0.175,17
0.225,21
0.185,16
0.185,29
0.155,17
0.125,15
0.15,19
0.145,12
0.14,13
0.13,11
0.15,15
0.135,11
0.165,14
0.145,14
0.13,13
0.155,11
0.175,15
0.195,17
0.15,15
0.175,12
0.165,19
0.155,11
0.175,10
0.18,12
0.225,23
0.225,15
0.19,13
0.19,17
0.175,15
0.235,12
0.225,15
0.18,11
0.155,16
0.185,10
0.14,10
0.145,10
0.085,6
0.07,5
0.08,6
0.115,9
0.08,5
0.09,4
0.09,6
0.05,3
0.09,5
0.115,9
0.055,5
0.06,4
0.04,4
0.04,3
0.155,14
0.16,12
0.095,9
0.185,20
0.13,13
0.12,12
0.11,9
0.14,10
0.13,11
0.14,11
0.075,7
0.07,5
0.115,10
0.14,15
0.115,11
0.115,15
0.115,8
0.105,10
0.075,11
0.065,8
0.045,7
0.16,12
0.18,11
0.16,17
0.155,13
0.165,12
0.12,13
0.125,9
0.15,10
0.15,14
0.165,12
0.17,13
0.145,13
0.105,8
0.12,13
0.115,11
0.15,11
0.13,14
0.065,10
0.13,12
0.125,12
0.08,7
0.115,11
0.14,16
0.135,14
0.155,20
0.14,17
0.15,10
0.14,11
0.14,10
0.175,10
0.15,11
0.175,17
0.175,11
0.15,14
0.19,19
0.14,13
0.1,11
0.125,11
0.17,10
0.145,13
0.14,14
0.12,13
0.15,13
0.115,9
0.175,18
0.18,19
0.15,12
0.18,13
0.14,9
0.14,13
0.145,12
0.195,16
0.145,17
0.11,10
0.1,13
0.115,11
0.14,12
0.125,13
0.09,9
0.13,10
0.1,10
0.09,12
0.17,12
0.05,4
0.075,9
0.125,18
0.145,15
0.135,13
0.14,12
0.085,7
0.075,9
0.055,7
0.08,10
0.14,18
0.115,12
0.105,17
0.105,15
0.16,12
0.095,10
0.095,8
0.145,21
0.085,10
0.115,9
0.12,7
0.125,10
0.13,9
0.1,9
0.09,8
0.1,7
0.085,6
0.12,14
0.13,13
0.085,7
0.18,13
0.16,19
0.095,7
0.13,9
0.12,11
0.075,6
0.145,9
0.12,11
0.125,9
0.065,5
0.09,6
0.13,11
0.08,7
0.11,10
0.075,7
0.165,17
0.17,16
0.195,18
0.185,11
0.18,18
0.17,11
0.13,10
0.105,12
0.12,19
0.095,10
0.12,11
0.15,15
0.155,13
0.145,13
0.145,14
0.155,17
0.165,19
0.15,21
0.15,23
0.18,22
0.145,12
0.115,11
0.165,23
0.1,8
0.1,7
0.14,10
0.115,7
0.185,16
0.14,10
0.185,15
0.15,13
0.125,16
0.17,11
0.15,11
0.15,10
0.075,5
0.115,11
0.12,9
0.02,4
0.09,7
0.05,4
0.1,5
0.12,13
0.105,16
0.105,12
0.135,14
0.105,9
0.115,12
0.125,9
0.14,10
0.09,11
0.09,10
0.13,10
0.09,7
0.08,7
0.1,11
0.055,7
0.085,8
0.08,9
0.065,7
0.07,8
0.06,6
0.035,4
0.025,2
0.025,3
0.16,13
0.15,15
0.13,15
0.08,11
0.11,17
0.085,10
0.105,12
0.125,13
0.12,15
0.13,11
0.13,13
0.12,15
0.13,13
0.12,18
0.125,10
0.115,12
0.125,12
0.135,14
0.09,10
0.205,14
0.09,8
0.15,14
0.14,17
0.13,20
0.13,17
0.2,17
0.14,9
0.13,14
0.175,15
0.105,13
0.12,10
0.17,13
0.165,13
0.175,20
0.185,13
0.155,20
0.19,15
0.155,13
0.12,15
0.15,15
0.155,16
0.135,17
0.19,14
0.145,14
0.15,11
0.13,13
0.095,9
0.155,11
0.17,17
0.165,11
0.14,8
0.115,8
0.135,9
0.14,10
0.165,11
0.145,15
0.14,13
0.14,15
0.145,15
0.165,13
0.15,12
0.145,10
0.125,6
0.06,5
0.175,15
0.13,9
0.135,12
0.16,9
0.165,12
0.16,10
0.135,10
0.18,9
0.165,12
0.16,12
0.145,15
0.155,11
0.11,9
0.16,11
0.11,11
0.135,10
0.125,10
0.13,9
0.1,7
0.135,10
0.12,7
0.07,6
0.125,15
0.13,10
0.115,12
0.14,12
0.13,21
0.055,6
0.06,5
0.085,7
0.08,7
0.08,6
0.09,6
0.07,6
0.085,7
0.135,7
0.14,6
0.095,7
0.095,6
0.1,7
0.095,7
0.095,6
0.1,6
0.1,6
0.11,7
0.1,6
0.1,6
0.115,9
0.1,7
0.1,7
0.13,8
0.12,8
0.125,9
0.135,8
0.105,9
0.125,8
0.125,9
0.125,9
0.14,8
0.13,8
0.125,9
0.14,11
0.135,10
0.125,8
0.15,10
0.15,10
0.145,9
0.155,10
0.15,9
0.13,10
0.14,9
0.165,9
0.13,12
0.15,10
0.16,8
0.16,6
0.14,12
0.175,11
0.155,10
0.175,11
0.175,10
0.16,9
0.175,12
0.15,10
0.15,9
0.165,12
0.16,11
0.165,9
0.155,11
0.2,11
0.165,14
0.17,9
0.15,10
0.165,9
0.165,8
0.175,11
0.165,9
0.205,17
0.17,15
0.19,10
0.16,10
0.17,12
0.155,9
0.195,11
0.16,11
0.22,11
0.23,17
0.05,6
0.055,5
0.065,3
0.05,6
0.055,4
0.06,6
0.075,4
0.08,5
0.08,4
0.095,6
0.07,5
0.075,6
0.07,8
0.09,5
0.075,6
0.085,6
0.075,7
0.075,7
0.075,5
0.07,7
0.1,7
0.095,6
0.095,7
0.09,6
0.08,6
0.09,7
0.09,7
0.09,6
0.09,6
0.115,5
0.1,6
0.1,6
0.1,6
0.1,7
0.09,7
0.12,8
0.115,6
0.13,6
0.09,7
0.11,6
0.13,7
0.13,7
0.105,8
0.11,7
0.105,7
0.125,7
0.12,6
0.1,7
0.105,7
0.115,7
0.115,7
0.11,7
0.125,6
0.12,8
0.12,8
0.125,9
0.12,6
0.115,6
0.145,6
0.1,8
0.12,7
0.115,7
0.125,8
0.135,8
0.135,7
0.135,6
0.12,8
0.135,7
0.125,7
0.13,9
0.15,8
0.125,9
0.125,8
0.135,8
0.1,7
0.135,7
0.15,8
0.145,8
0.14,8
0.155,7
0.14,8
0.14,11
0.13,8
0.15,8
0.125,7
0.135,8
0.14,8
0.14,8
0.155,9
0.14,9
0.16,9
0.13,8
0.155,10
0.155,10
0.15,8
0.14,8
0.17,7
0.16,9
0.16,9
0.15,7
0.18,8
0.15,10
0.145,8
0.13,9
0.155,11
0.16,8
0.145,8
0.155,11
0.15,11
0.165,9
0.14,9
0.15,9
0.15,9
0.155,9
0.165,11
0.15,11
0.155,10
0.16,8
0.18,11
0.17,10
0.175,10
0.175,10
0.165,9
0.2,9
0.155,8
0.165,11
0.15,8
0.175,11
0.185,10
0.155,10
0.17,11
0.175,10
0.155,10
