car.name,mpg,weight
chevrolet chevelle malibu,18,3504
buick skylark 320,15,3693
plymouth satellite,18,3436
amc rebel sst,16,3433
ford torino,17,3449
ford galaxie 500,15,4341
chevrolet impala,14,4354
plymouth fury iii,14,4312
pontiac catalina,14,4425
amc ambassador dpl,15,3850
dodge challenger se,15,3563
plymouth 'cuda 340,14,3609
chevrolet monte carlo,15,3761
buick estate wagon (sw),14,3086
toyota corona mark ii,24,2372
plymouth duster,22,2833
amc hornet,18,2774
ford maverick,21,2587
datsun pl510,27,2130
volkswagen 1131 deluxe sedan,26,1835
peugeot 504,25,2672
audi 100 ls,24,2430
saab 99e,25,2375
bmw 2002,26,2234
amc gremlin,21,2648
ford f250,10,4615
chevy c20,10,4376
dodge d200,11,4382
hi 1200d,9,4732
datsun pl510,27,2130
chevrolet vega 2300,28,2264
toyota corona,25,2228
ford pinto,25,2046
amc gremlin,19,2634
plymouth satellite custom,16,3439
chevrolet chevelle malibu,17,3329
ford torino 500,19,3302
amc matador,18,3288
chevrolet impala,14,4209
pontiac catalina brougham,14,4464
ford galaxie 500,14,4154
plymouth fury iii,14,4096
dodge monaco (sw),12,4955
ford country squire (sw),13,4746
pontiac safari (sw),13,5140
amc hornet sportabout (sw),18,2962
chevrolet vega (sw),22,2408
pontiac firebird,19,3282
ford mustang,18,3139
mercury capri 2000,23,2220
opel 1900,28,2123
peugeot 304,30,2074
fiat 124b,30,2065
toyota corolla 1200,31,1773
datsun 1200,35,1613
volkswagen model 111,27,1834
plymouth cricket,26,1955
toyota corona hardtop,24,2278
dodge colt hardtop,25,2126
volkswagen type 3,23,2254
chevrolet vega,20,2408
ford pinto runabout,21,2226
chevrolet impala,13,4274
pontiac catalina,14,4385
plymouth fury iii,15,4135
ford galaxie 500,14,4129
amc ambassador sst,17,3672
mercury marquis,11,4633
buick lesabre custom,13,4502
oldsmobile delta 88 royale,12,4456
chrysler newport royal,13,4422
mazda rx2 coupe,19,2330
amc matador (sw),15,3892
chevrolet chevelle concours (sw),13,4098
ford gran torino (sw),13,4294
plymouth satellite custom (sw),14,4077
volvo 145e (sw),18,2933
volkswagen 411 (sw),22,2511
peugeot 504 (sw),21,2979
renault 12 (sw),26,2189
ford pinto (sw),22,2395
datsun 510 (sw),28,2288
toyouta corona mark ii (sw),23,2506
dodge colt (sw),28,2164
toyota corolla 1600 (sw),27,2100
buick century 350,13,4100
amc matador,14,3672
chevrolet malibu,13,3988
ford gran torino,14,4042
dodge coronet custom,15,3777
mercury marquis brougham,12,4952
chevrolet caprice classic,13,4464
ford ltd,13,4363
plymouth fury gran sedan,14,4237
chrysler new yorker brougham,13,4735
buick electra 225 custom,12,4951
amc ambassador brougham,13,3821
plymouth valiant,18,3121
chevrolet nova custom,16,3278
amc hornet,18,2945
ford maverick,18,3021
plymouth duster,23,2904
volkswagen super beetle,26,1950
chevrolet impala,11,4997
ford country,12,4906
plymouth custom suburb,13,4654
oldsmobile vista cruiser,12,4499
amc gremlin,18,2789
toyota carina,20,2279
chevrolet vega,21,2401
datsun 610,22,2379
maxda rx3,18,2124
ford pinto,19,2310
mercury capri v6,21,2472
fiat 124 sport coupe,26,2265
chevrolet monte carlo s,15,4082
pontiac grand prix,16,4278
fiat 128,29,1867
opel manta,24,2158
audi 100ls,20,2582
volvo 144ea,19,2868
dodge dart custom,15,3399
saab 99le,24,2660
toyota mark ii,20,2807
oldsmobile omega,11,3664
plymouth duster,20,3102
ford maverick,21,2875
amc hornet,19,2901
chevrolet nova,15,3336
datsun b210,31,1950
ford pinto,26,2451
toyota corolla 1200,32,1836
chevrolet vega,25,2542
chevrolet chevelle malibu classic,16,3781
amc matador,16,3632
plymouth satellite sebring,18,3613
ford gran torino,16,4141
buick century luxus (sw),13,4699
dodge coronet custom (sw),14,4457
ford gran torino (sw),14,4638
amc matador (sw),14,4257
audi fox,29,2219
volkswagen dasher,26,1963
opel manta,26,2300
toyota corona,31,1649
datsun 710,32,2003
dodge colt,28,2125
fiat 128,24,2108
fiat 124 tc,26,2246
honda civic,24,2489
subaru,26,2391
fiat x1.9,31,2000
plymouth valiant custom,19,3264
chevrolet nova,18,3459
mercury monarch,15,3432
ford maverick,15,3158
pontiac catalina,16,4668
chevrolet bel air,15,4440
plymouth grand fury,16,4498
ford ltd,14,4657
buick century,17,3907
chevroelt chevelle malibu,16,3897
amc matador,15,3730
plymouth fury,18,3785
buick skyhawk,21,3039
chevrolet monza 2+2,20,3221
ford mustang ii,13,3169
toyota corolla,29,2171
ford pinto,23,2639
amc gremlin,20,2914
pontiac astro,23,2592
toyota corona,24,2702
volkswagen dasher,25,2223
datsun 710,24,2545
ford pinto,18,2984
volkswagen rabbit,29,1937
amc pacer,19,3211
audi 100ls,23,2694
peugeot 504,23,2957
volvo 244dl,22,2945
saab 99le,25,2671
honda civic cvcc,33,1795
fiat 131,28,2464
opel 1900,25,2220
capri ii,25,2572
dodge colt,26,2255
renault 12tl,27,2202
chevrolet chevelle malibu classic,17.5,4215
dodge coronet brougham,16,4190
amc matador,15.5,3962
ford gran torino,14.5,4215
plymouth valiant,22,3233
chevrolet nova,22,3353
ford maverick,24,3012
amc hornet,22.5,3085
chevrolet chevette,29,2035
chevrolet woody,24.5,2164
vw rabbit,29,1937
honda civic,33,1795
dodge aspen se,20,3651
ford granada ghia,18,3574
pontiac ventura sj,18.5,3645
amc pacer d/l,17.5,3193
volkswagen rabbit,29.5,1825
datsun b-210,32,1990
toyota corolla,28,2155
ford pinto,26.5,2565
volvo 245,20,3150
plymouth volare premier v8,13,3940
peugeot 504,19,3270
toyota mark ii,19,2930
mercedes-benz 280s,16.5,3820
cadillac seville,16.5,4380
chevy c10,13,4055
ford f108,13,3870
dodge d100,13,3755
honda accord cvcc,31.5,2045
buick opel isuzu deluxe,30,2155
renault 5 gtl,36,1825
plymouth arrow gs,25.5,2300
datsun f-10 hatchback,33.5,1945
chevrolet caprice classic,17.5,3880
oldsmobile cutlass supreme,17,4060
dodge monaco brougham,15.5,4140
mercury cougar brougham,15,4295
chevrolet concours,17.5,3520
buick skylark,20.5,3425
plymouth volare custom,19,3630
ford granada,18.5,3525
pontiac grand prix lj,16,4220
chevrolet monte carlo landau,15.5,4165
chrysler cordoba,15.5,4325
ford thunderbird,16,4335
volkswagen rabbit custom,29,1940
pontiac sunbird coupe,24.5,2740
toyota corolla liftback,26,2265
ford mustang ii 2+2,25.5,2755
chevrolet chevette,30.5,2051
dodge colt m/m,33.5,2075
subaru dl,30,1985
volkswagen dasher,30.5,2190
datsun 810,22,2815
bmw 320i,21.5,2600
mazda rx-4,21.5,2720
volkswagen rabbit custom diesel,43.1,1985
ford fiesta,36.1,1800
mazda glc deluxe,32.8,1985
datsun b210 gx,39.4,2070
honda civic cvcc,36.1,1800
oldsmobile cutlass salon brougham,19.9,3365
dodge diplomat,19.4,3735
mercury monarch ghia,20.2,3570
pontiac phoenix lj,19.2,3535
chevrolet malibu,20.5,3155
ford fairmont (auto),20.2,2965
ford fairmont (man),25.1,2720
plymouth volare,20.5,3430
amc concord,19.4,3210
buick century special,20.6,3380
mercury zephyr,20.8,3070
dodge aspen,18.6,3620
amc concord d/l,18.1,3410
chevrolet monte carlo landau,19.2,3425
buick regal sport coupe (turbo),17.7,3445
ford futura,18.1,3205
dodge magnum xe,17.5,4080
chevrolet chevette,30,2155
toyota corona,27.5,2560
datsun 510,27.2,2300
dodge omni,30.9,2230
toyota celica gt liftback,21.1,2515
plymouth sapporo,23.2,2745
oldsmobile starfire sx,23.8,2855
datsun 200-sx,23.9,2405
audi 5000,20.3,2830
volvo 264gl,17,3140
saab 99gle,21.6,2795
peugeot 604sl,16.2,3410
volkswagen scirocco,31.5,1990
honda accord lx,29.5,2135
pontiac lemans v6,21.5,3245
mercury zephyr 6,19.8,2990
ford fairmont 4,22.3,2890
amc concord dl 6,20.2,3265
dodge aspen 6,20.6,3360
chevrolet caprice classic,17,3840
ford ltd landau,17.6,3725
mercury grand marquis,16.5,3955
dodge st. regis,18.2,3830
buick estate wagon (sw),16.9,4360
ford country squire (sw),15.5,4054
chevrolet malibu classic (sw),19.2,3605
chrysler lebaron town @ country (sw),18.5,3940
vw rabbit custom,31.9,1925
maxda glc deluxe,34.1,1975
dodge colt hatchback custom,35.7,1915
amc spirit dl,27.4,2670
mercedes benz 300d,25.4,3530
cadillac eldorado,23,3900
peugeot 504,27.2,3190
oldsmobile cutlass salon brougham,23.9,3420
plymouth horizon,34.2,2200
plymouth horizon tc3,34.5,2150
datsun 210,31.8,2020
fiat strada custom,37.3,2130
buick skylark limited,28.4,2670
chevrolet citation,28.8,2595
oldsmobile omega brougham,26.8,2700
pontiac phoenix,33.5,2556
vw rabbit,41.5,2144
toyota corolla tercel,38.1,1968
chevrolet chevette,32.1,2120
datsun 310,37.2,2019
chevrolet citation,28,2678
ford fairmont,26.4,2870
amc concord,24.3,3003
dodge aspen,19.1,3381
audi 4000,34.3,2188
toyota corona liftback,29.8,2711
mazda 626,31.3,2542
datsun 510 hatchback,37,2434
toyota corolla,32.2,2265
mazda glc,46.6,2110
dodge colt,27.9,2800
datsun 210,40.8,2110
vw rabbit c (diesel),44.3,2085
vw dasher (diesel),43.4,2335
audi 5000s (diesel),36.4,2950
mercedes-benz 240d,30,3250
honda civic 1500 gl,44.6,1850
renault lecar deluxe,40.9,1835
subaru dl,33.8,2145
vokswagen rabbit,29.8,1845
datsun 280-zx,32.7,2910
mazda rx-7 gs,23.7,2420
triumph tr7 coupe,35,2500
ford mustang cobra,23.6,2905
honda accord,32.4,2290
plymouth reliant,27.2,2490
buick skylark,26.6,2635
dodge aries wagon (sw),25.8,2620
chevrolet citation,23.5,2725
plymouth reliant,30,2385
toyota starlet,39.1,1755
plymouth champ,39,1875
honda civic 1300,35.1,1760
subaru,32.3,2065
datsun 210 mpg,37,1975
toyota tercel,37.7,2050
mazda glc 4,34.1,1985
plymouth horizon 4,34.7,2215
ford escort 4w,34.4,2045
ford escort 2h,29.9,2380
volkswagen jetta,33,2190
renault 18i,34.5,2320
honda prelude,33.7,2210
toyota corolla,32.4,2350
datsun 200sx,32.9,2615
mazda 626,31.6,2635
peugeot 505s turbo diesel,28.1,3230
volvo diesel,30.7,3160
toyota cressida,25.4,2900
datsun 810 maxima,24.2,2930
buick century,22.4,3415
oldsmobile cutlass ls,26.6,3725
ford granada gl,20.2,3060
chrysler lebaron salon,17.6,3465
chevrolet cavalier,28,2605
chevrolet cavalier wagon,27,2640
chevrolet cavalier 2-door,34,2395
pontiac j2000 se hatchback,31,2575
dodge aries se,29,2525
pontiac phoenix,27,2735
ford fairmont futura,24,2865
amc concord dl,23,3035
volkswagen rabbit l,36,1980
mazda glc custom l,37,2025
mazda glc custom,31,1970
plymouth horizon miser,38,2125
mercury lynx l,36,2125
nissan stanza xe,36,2160
honda accord,36,2205
toyota corolla,34,2245
honda civic,38,1965
honda civic (auto),32,1965
datsun 310 gx,38,1995
buick century limited,25,2945
oldsmobile cutlass ciera (diesel),38,3015
chrysler lebaron medallion,26,2585
ford granada l,22,2835
toyota celica gt,32,2665
dodge charger 2.2,36,2370
chevrolet camaro,27,2950
ford mustang gl,27,2790
vw pickup,44,2130
dodge rampage,32,2295
ford ranger,28,2625
chevy s-10,31,2720
