"M/Z","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
1000.55719962518,0.6167205418,2.3260737671,0.682980495,0.2335034712,0.6545633,-0.9304629064,0.3444444804,1.7239653246,6.7144790191,0.5968032588,0.4818182959,0.535093861,-1.7789850737,0.7758944786,1.9659703001,2.1477464638,-0.2773820842,1.1911343249,0.1408786888,-0.920103073,0.6830484036,0.0252173149,0.4888204558,-0.0401277755,2.3860335476,2.1940905172,0.7227587666,-0.1820364941,-0.4347201459,3.4330837749
1001.40074241731,0.0083334707,1.8401774871,-0.2109636053,1.025405147,1.3415829496,-0.6466433481,-0.8022800509,2.8743546443,4.9808291246,-0.046722031,-0.5019787847,1.1528392624,1.3851515576,0.3120618166,2.9571167526,0.0798067962,1.123355449,2.6285445708,1.1585777158,2.034880582,2.0886622232,2.5378396458,-2.0318724835,-0.2906845888,0.9512456287,0.4142457019,-0.1635710856,-0.0805603847,-0.3001523458,2.7365801524
1001.94916550109,0.8987282499,2.4780051271,0.305389632,1.791361504,2.0073870126,-1.1590032254,-0.0180984615,-0.2867518638,0.4684998624,-0.1257461425,0.6827996213,0.8061822256,2.5414343966,1.208718672,4.0749462379,1.552062332,0.2279857379,1.9329106878,0.1932969499,1.8304148668,1.5694083062,1.9826557671,-0.5224871059,-0.2749835584,1.0196384108,3.3122445675,0.8471795075,-0.1703597867,0.3451626542,2.4616650017
1002.21768674888,0.6347998058,2.5790082268,-0.1101577131,1.593168009,1.8532538404,-0.2808321194,-0.3838012807,-0.4212496136,-1.2461346372,0.3490365969,0.4898370407,0.4556383003,2.0840475441,0.1936876991,1.7354122729,1.5982545085,0.2275473733,2.0605519953,0.2716695984,2.1394550804,1.412437727,1.1825975179,3.2256082955,0.1997427371,1.6023211393,2.6293260578,1.839522316,0.241181624,0.9305646738,1.8586445556
1003.25947845904,0.4000642723,2.4680766753,2.1343136208,3.3908889284,2.623249133,1.9619280812,-0.3294916388,0.876939332,0.2302162708,2.7788825563,-0.2702083352,0.5449437663,3.3822644386,0.1555691156,3.9330412904,-0.9963508676,-0.6592193581,1.4296216879,0.8565951843,1.382391286,1.7221177973,0.6513390504,-1.7385485922,2.3606062804,0.7648251776,0.2409315816,0.9440126674,1.368993032,0.7045786627,0.4457936709
1004.7510297032,1.4311283725,1.7935505575,1.3626214543,1.9673976084,0.0196473439,1.5972396105,0.7529503813,1.8003844254,4.9662954222,1.0277923308,2.2592288314,0.0872738074,0.4581674096,0.3624564164,-2.3250213821,1.3147437449,3.3805730154,2.4262853582,0.6967614496,0.8840286456,1.7552747192,0.8133707575,1.0037982342,1.6437938377,2.1379767532,1.1466639437,-0.6087009185,-0.2681556609,-0.4686915146,-0.5538718219
1005.85283225281,0.0935138695,2.0847428172,0.4702152489,0.4796773136,0.1420873742,0.8788381675,1.4438269069,1.9614643385,2.6878647186,2.5500494371,0.9356594986,-0.0072416277,-0.6999828677,1.584493361,0.6143671575,-1.7631396337,0.2221200633,-0.7506768884,1.4279029292,2.7585118812,2.6161822294,0.3687582718,1.3163958691,1.4146967366,0.5787333957,1.0060640766,0.1768253176,-1.4167653174,1.3921226861,0.1322838033
1006.65999955765,0.1594881959,2.2579684968,1.2160434836,0.5735210479,2.6061557439,2.8483201395,3.4438304951,3.0531453644,5.4410375623,0.5722223023,0.7470425499,0.8246612632,-0.698720973,0.3845070161,-0.6044082097,1.1890500581,-0.7178828979,2.8836025082,1.3873810648,-1.2890819039,1.19250288,0.5570301232,3.0682961241,0.5543188195,0.5573257226,-1.3922623781,1.0761369081,0.1536773592,0.9215907136,0.9516348302
1007.22035004691,0.079451224,0.3406692324,2.0079558797,0.7809649898,1.8481242023,1.6305159852,2.0953020093,3.5167789734,7.7752265595,0.7688368251,1.2160610335,1.2189609902,2.2619494572,-1.6315679834,0.9266878119,1.0736355251,0.0566757513,2.1318310708,1.7865829648,0.1516475102,1.5144526157,0.5087285402,-0.708764181,-0.4960587611,1.0453634659,0.9636190147,1.0575835701,0.3488433013,0.065220674,1.7077704043
1008.10470019359,0.8884686188,1.8140490326,-0.3017395447,1.2573015919,1.9937436091,2.1404349545,0.9814507511,4.2056937197,6.0707180244,1.5630365199,0.1905686459,0.0705371261,1.9762435459,1.4503472306,3.2377359965,2.3505134287,0.1835351146,-1.0634548063,0.7420057635,0.1132463944,1.3687078773,1.8132304907,-0.1843392731,-0.2345460085,0.0492406616,0.1761944414,0.5606246973,0.8541407693,-0.0843506058,0.7799572663
