"M/Z","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
1000.55719962518,0.9062483787,1.3655254832,-1.0010964322,1.1181859516,3.2573169652,2.186379687,1.5616639978,0.9405147535,-0.261458794,-0.2410887093,2.1066418597,1.501317883,0.7341696273,0.2486179743,2.0772870885,1.689068196,3.0379944346,0.9189707901,1.9329439883,-0.5629130184,2.3121590435,2.1136858374,1.743482657,0.2335837805,-0.3147774344,0.6314009006,1.9362376065,2.7248337535,2.5330551476,1.4941555049
1001.40074241731,1.2393891541,-0.7183814198,0.1516550239,2.6877342463,1.249510374,2.3284031869,0.1763706465,0.763419111,0.5184406972,2.4707306497,-0.7211604581,1.2384779907,-1.3518585635,-1.2932688416,1.2663280795,1.6077244448,0.3864976303,1.459256268,2.1975537726,0.342501838,3.7813042804,3.5313370632,0.7267789475,-0.4873364756,-1.2934890379,1.1843395873,1.2352457522,-0.6452441429,3.0269944515,0.6402400388
1001.94916550109,1.2139786161,0.4466202078,1.6177690085,0.8387454409,1.1805178843,0.6452704511,0.8670286662,1.0272562991,0.3329054034,1.9051186164,0.6455032532,0.6510882549,0.0041095676,0.3049973119,1.0479281529,-0.4637625906,1.5488035404,-0.0686735329,0.4329073285,0.9075659757,2.6038887045,3.988065379,-1.4430423778,0.1337162818,-1.6184349885,1.0653595607,2.1298170223,-1.8462972712,1.8281773438,0.7342434661
1002.21768674888,0.9064532012,-0.1355615849,0.9764186365,2.7461304383,0.7612478982,-0.1029589495,1.2626631105,2.0923420653,-0.8978253675,0.7453372223,1.7314797259,-0.0061106924,1.0888348821,1.0420248604,1.0819888196,-1.0143913967,2.7773088394,-0.3124075931,0.1658343861,1.3073463923,2.1194340974,1.3025301818,-0.8611124158,0.9498092143,-1.5493119645,0.728005247,1.3978075825,-2.5762682359,1.2043276215,0.5288131085
1003.25947845904,0.0842934602,3.2717941716,0.0905695931,0.8963184364,0.4165266296,1.2820595738,-0.1027925575,0.8753817033,2.1491441005,1.006340872,3.0444935462,-1.5366986527,2.5274685466,-1.2452531843,0.6004353451,1.1281848279,3.5072959327,1.179828508,1.276854082,0.5445850493,2.9318081462,1.4643620297,-0.9087778485,1.3948234278,1.365986149,2.9082924365,2.0004372204,0.8619703465,4.5592295223,0.1325694879
1004.7510297032,1.368279838,1.6962144467,0.1192661771,0.9735595395,-0.225656538,-2.0124756565,-0.4533071519,-0.3814084473,-0.4536207782,-0.3059454443,3.7467026177,0.5843441284,0.5804599533,-1.3154266348,-0.0458652035,1.4166345685,0.0983581816,1.4345362744,2.2335183752,1.0525601176,1.4476669275,3.0248491979,-0.4747924596,0.2571713636,-0.0567177062,2.1107091205,2.9540304524,5.5909575658,-2.2022998558,1.4103367508
1005.85283225281,1.3627137575,0.3397956609,0.0025692075,2.0036005117,-1.6951751724,-0.6878972843,1.1421340087,-0.2178533261,0.0774919141,0.509650018,4.9608137088,1.6952880294,-0.219861242,2.4527950165,0.6939616506,2.1661428143,0.3557332988,-0.1271387162,-1.1525023997,0.5687397153,2.3648477582,0.2487312742,1.2163619044,0.4837408557,0.6920246647,0.6706354815,0.0773445499,1.126310707,0.8175520485,0.2679735344
1006.65999955765,0.8833184886,2.2709729638,-0.2519473784,2.7400542678,2.6443189329,0.3170650754,0.1144602729,1.3446495334,1.779866346,2.3732130973,4.2251917902,0.4839328911,0.9029435268,0.389976043,1.9046311255,-0.2656161602,-0.227518533,0.9217450732,0.5146404314,0.2730924113,1.7547692552,1.6199320827,6.5875390168,1.563142402,2.4012273465,-0.420793419,-1.2598083857,1.5607786989,3.5173559264,0.2329839766
1007.22035004691,1.4811403382,1.2697308714,-0.0237102256,4.2124987384,3.3372167058,0.5279873166,1.2028475552,2.3745403131,1.7322226083,0.8529857339,7.0748328522,1.047814173,1.0921058445,1.4975547971,2.6972598207,4.1248289606,-0.3699884003,1.8605815266,0.5482683785,0.994666827,1.157683339,-0.1997248068,4.589143753,0.9565899333,3.7578406087,0.2974420458,-2.3267812615,2.9315389757,2.7563798125,0.9351546023
1008.10470019359,1.3749135547,3.7005489528,0.0096796037,3.7043316606,1.6710837924,2.1210362262,2.1823984758,0.4741896076,3.7285783124,0.6849556581,3.7800963208,3.4483919688,2.7684157448,-0.8456775213,1.6570806411,2.3360153298,4.6885779977,1.1400124433,5.141969284,0.976946293,0.7245885623,1.9025793385,1.0079822291,0.73918524,1.8315973709,0.086471571,0.8890837459,8.9511678317,4.6169055613,1.5644534915
1009.32970801553,2.3837851433,1.9815124394,-0.2960158883,1.2321516327,7.4538231316,1.0351566894,0.8121464071,0.2528162231,2.1382060487,0.8942432154,7.0695717868,0.5238673885,1.1717880625,0.5594387287,-0.1571847324,3.0079387562,-0.8716759781,0.1883304371,-2.6117229041,0.541007031,4.0115245322,4.2420377478,-0.2322395767,-0.3014843902,1.9769327151,1.5203736322,2.2382978376,5.8941731813,3.5170394304,0.1193758317
1010.44685555534,1.3038939621,0.9114569712,0.2450663704,1.3018819033,0.631973415,0.2988016708,0.6270984078,0.0831412615,1.1665947378,2.6529170788,1.1156691501,0.4318495841,1.3333783193,0.1969875134,0.6207166526,1.9327463441,-0.3574491009,-0.8975515197,1.1475888928,2.2464687765,1.60671804,-0.2141560568,1.0392067465,0.0690493437,2.9919484552,0.8008675215,0.5731104314,1.0239998344,2.1708253254,1.069239043
1011.72103503034,1.7288193417,-0.5153199454,2.4187261131,0.9365296907,0.1041440078,1.5761990229,0.2651942733,1.3287019289,4.3057246518,0.3266071176,4.4885903847,1.0608133197,0.8062447791,1.9994079301,0.9945490803,2.325653952,-0.7899059108,0.0804180157,2.7957701913,-0.0631066025,2.44414345,-0.4360336308,0.9085068651,1.2569262528,4.6845479265,1.3706119558,1.2085237678,0.9470307865,4.4227344809,-1.4418974019
1012.61839281776,0.947002502,0.6115277004,1.4856669442,2.3204279482,2.4674832237,-0.8939550498,2.3798868025,1.8796382859,1.856414495,2.1426664369,3.3692104512,0.1274071381,1.4307819647,1.8216820598,1.0483645623,0.6984670247,2.3960732405,-0.8548810961,4.1950730418,-0.5275300703,1.4021170338,-0.3092432111,-1.1630086156,-0.0019099747,2.0788849328,1.3748245355,0.9222875267,1.9499985906,2.3984056338,1.2753127406
1012.85331246599,0.8655808654,1.2191069982,1.3533613145,1.3795744497,2.478432016,0.2999420065,1.85659335,0.9680469111,1.1880931905,2.4486704639,3.2954297869,0.8925436446,1.4079717385,2.2922234823,1.2212472488,1.4377820697,0.1732368434,-0.6201208674,3.7749102505,-0.906856367,1.6994830663,-1.4877608474,-1.1439126062,-0.0387637894,1.4275761502,1.8056155276,0.389022162,2.1683712011,2.7058187682,0.8499641466
1013.5100878158,1.2356686595,2.8343697608,0.7314485525,-1.470928235,4.1828757456,2.1112249432,-1.5759307869,0.567711884,1.6642373745,3.0396343004,5.5553346654,2.5226083068,0.6207821011,3.1939836292,0.8290291776,1.3870707914,0.2542862451,1.5379502777,0.8477203244,-0.447742865,1.292251223,-0.4022160041,2.7946543466,-0.212618646,-0.3515346155,2.5155952516,1.978149349,3.0613135555,1.6136360144,0.1363302769
1014.89195831041,1.4081419768,0.063444315,0.4975095967,3.201735241,4.7086101716,-0.8406080161,0.7431610409,-0.1324815903,0.1250377078,-0.9629920525,4.6439799144,1.5206634434,0.10286695,2.6286171978,1.0921762923,2.723791835,-0.0842119753,0.5702527541,-0.3379682293,0.8391007505,3.0103540453,2.4481156822,-0.5274726444,-1.6968192398,3.3791855093,1.1986797318,3.4048363969,1.0926685745,3.4032889891,0.2697786789
1016.90271393887,2.45943123,-0.8083659657,2.4829276426,3.1745327489,0.998768053,0.9684704746,-0.3725094294,2.1082216199,1.0654505316,1.1054264,3.6129208088,-0.0320945833,2.0837401552,3.303074764,2.132063952,1.1094150017,0.9573031172,0.1547626135,4.238140534,2.0062904978,0.8966494432,3.9210922415,3.2594782525,0.9282711149,2.4824117847,-1.0228379703,2.7693602327,-0.1646914273,4.6628714873,1.2589233558
